Gene stable ID,9ca1b249-c310-4c30-83ea-2558b46f5332
ENSG00000065268,928
ENSG00000065308,6317
ENSG00000065320,4224
ENSG00000065325,0
ENSG00000065328,1366
ENSG00000065357,1598
ENSG00000065361,18044
ENSG00000065371,2631
ENSG00000065413,133
ENSG00000065427,13854
ENSG00000065457,1075
ENSG00000065485,4404
ENSG00000065491,2203
ENSG00000065518,5220
ENSG00000065526,8283
ENSG00000065534,26060
ENSG00000065548,5043
ENSG00000065559,1516
ENSG00000065600,2175
ENSG00000065609,66
ENSG00000065613,7538
ENSG00000065615,664
ENSG00000065618,193
ENSG00000065621,3843
ENSG00000065665,1328
ENSG00000065675,1421
ENSG00000065717,1175
ENSG00000065802,2459
ENSG00000065809,3169
ENSG00000065833,1652
ENSG00000065882,6098
ENSG00000065883,7082
ENSG00000065911,20323
ENSG00000065923,4419
ENSG00000065970,2190
ENSG00000065978,60370
ENSG00000065989,147
ENSG00000066027,2621
ENSG00000066032,30
ENSG00000066044,11446
ENSG00000066056,436
ENSG00000066084,10007
ENSG00000066117,8634
ENSG00000066135,5120
ENSG00000066136,7526
ENSG00000066185,235
ENSG00000066230,23
ENSG00000066248,1546
ENSG00000066279,2343
ENSG00000066294,215
ENSG00000066322,10606
ENSG00000066336,239
ENSG00000066379,1290
ENSG00000066382,8
ENSG00000066405,12
ENSG00000066422,2860
ENSG00000066427,2680
ENSG00000066455,5728
ENSG00000066468,8994
ENSG00000066557,1267
ENSG00000066583,1261
ENSG00000066629,352
ENSG00000066651,1412
ENSG00000066654,5907
ENSG00000066697,1264
ENSG00000066735,86
ENSG00000066739,3636
ENSG00000066777,7759
ENSG00000066813,0
ENSG00000066827,2455
ENSG00000066855,1748
ENSG00000066923,2322
ENSG00000066926,2259
ENSG00000066933,7377
ENSG00000067048,1
ENSG00000067057,5736
ENSG00000067064,3888
ENSG00000067066,1246
ENSG00000067082,2715
ENSG00000067113,588
ENSG00000067141,3674
ENSG00000067167,19133
ENSG00000067177,3154
ENSG00000067182,4624
ENSG00000067191,873
ENSG00000067208,1615
ENSG00000067221,356
ENSG00000067225,57063
ENSG00000067248,2862
ENSG00000067334,8180
ENSG00000067365,490
ENSG00000067369,2102
ENSG00000067445,1809
ENSG00000067533,2119
ENSG00000067560,16448
ENSG00000067596,2793
ENSG00000067601,280
ENSG00000067606,1016
ENSG00000067646,0
ENSG00000067704,6904
ENSG00000067715,132
ENSG00000067798,612
ENSG00000067829,2687
ENSG00000067836,889
ENSG00000067840,22
ENSG00000067842,0
ENSG00000067900,5489
ENSG00000067955,6806
ENSG00000067992,531
ENSG00000068001,1280
ENSG00000068024,1687
ENSG00000068028,636
ENSG00000068078,194
ENSG00000068079,256
ENSG00000068097,1171
ENSG00000068120,1996
ENSG00000068137,771
ENSG00000068305,11857
ENSG00000068308,5437
ENSG00000068323,1927
ENSG00000068354,1322
ENSG00000068366,710
ENSG00000068383,464
ENSG00000068394,1366
ENSG00000068400,2647
ENSG00000068438,2599
ENSG00000068489,751
ENSG00000068615,11
ENSG00000068650,8191
ENSG00000068654,6219
ENSG00000068697,51992
ENSG00000068724,6261
ENSG00000068745,4796
ENSG00000068781,1
ENSG00000068784,1608
ENSG00000068796,1294
ENSG00000068831,71
ENSG00000068878,14455
ENSG00000068885,1735
ENSG00000068903,3390
ENSG00000068912,6781
ENSG00000068971,1566
ENSG00000068976,19
ENSG00000068985,1
ENSG00000069011,1
ENSG00000069018,0
ENSG00000069020,199
ENSG00000069122,883
ENSG00000069188,2779
ENSG00000069206,0
ENSG00000069248,4904
ENSG00000069275,29208
ENSG00000069329,25754
ENSG00000069345,9171
ENSG00000069399,849
ENSG00000069424,869
ENSG00000069431,222
ENSG00000069482,29
ENSG00000069493,976
ENSG00000069509,882
ENSG00000069535,36
ENSG00000069667,557
ENSG00000069696,27
ENSG00000069702,18654
ENSG00000069712,681
ENSG00000069764,9
ENSG00000069812,12
ENSG00000069849,9864
ENSG00000069869,565
ENSG00000069943,214
ENSG00000069956,2118
ENSG00000069966,1141
ENSG00000069974,970
ENSG00000069998,4843
ENSG00000070010,3004
ENSG00000070018,10271
ENSG00000070019,200
ENSG00000070031,2
ENSG00000070047,2268
ENSG00000070061,4831
ENSG00000070081,1973
ENSG00000070087,19828
ENSG00000070159,3237
ENSG00000070182,687
ENSG00000070190,186
ENSG00000070193,4
ENSG00000070214,16382
ENSG00000070269,1315
ENSG00000070366,991
ENSG00000070367,1944
ENSG00000070371,286
ENSG00000070388,0
ENSG00000070404,419
ENSG00000070413,11139
ENSG00000070423,1451
ENSG00000070444,1973
ENSG00000070476,3747
ENSG00000070495,1591
ENSG00000070501,2088
ENSG00000070526,5
ENSG00000070540,2878
ENSG00000070601,16
ENSG00000070610,5325
ENSG00000070614,6532
ENSG00000070669,5208
ENSG00000070718,1923
