Gene stable ID,db7a781d-67d2-4859-a6f5-c167cd64d149
ENSG00000060566,3
ENSG00000060642,1585
ENSG00000060656,4166
ENSG00000060688,2463
ENSG00000060709,53
ENSG00000060718,169952
ENSG00000060749,4461
ENSG00000060762,1518
ENSG00000060971,3685
ENSG00000060982,10967
ENSG00000061273,6524
ENSG00000061337,2441
ENSG00000061455,618
ENSG00000061492,0
ENSG00000061656,305
ENSG00000061676,20411
ENSG00000061794,5077
ENSG00000061918,2184
ENSG00000061936,2609
ENSG00000061938,3130
ENSG00000061987,3999
ENSG00000062038,2397
ENSG00000062096,4
ENSG00000062194,8924
ENSG00000062282,114
ENSG00000062370,692
ENSG00000062485,10915
ENSG00000062524,12
ENSG00000062582,287
ENSG00000062598,4548
ENSG00000062650,6339
ENSG00000062716,14015
ENSG00000062725,4501
ENSG00000062822,1611
ENSG00000063015,1
ENSG00000063046,25790
ENSG00000063127,23
ENSG00000063169,1263
ENSG00000063176,916
ENSG00000063177,38038
ENSG00000063180,862
ENSG00000063241,2965
ENSG00000063244,10818
ENSG00000063245,8937
ENSG00000063322,7205
ENSG00000063438,186
ENSG00000063515,1
ENSG00000063587,2004
ENSG00000063601,2768
ENSG00000063660,7563
ENSG00000063761,648
ENSG00000063854,1918
ENSG00000063978,4726
ENSG00000064012,1071
ENSG00000064042,10489
ENSG00000064102,2045
ENSG00000064115,5764
ENSG00000064195,54
ENSG00000064199,857
ENSG00000064201,30
ENSG00000064205,6159
ENSG00000064218,92
ENSG00000064225,945
ENSG00000064270,962
ENSG00000064300,26
ENSG00000064309,854
ENSG00000064313,2918
ENSG00000064393,1062
ENSG00000064419,5080
ENSG00000064489,32
ENSG00000064490,2358
ENSG00000064545,943
ENSG00000064547,935
ENSG00000064601,11265
ENSG00000064607,2789
ENSG00000064651,17421
ENSG00000064652,974
ENSG00000064655,1608
ENSG00000064666,19503
ENSG00000064687,536
ENSG00000064692,121
ENSG00000064703,1685
ENSG00000064726,7087
ENSG00000064763,630
ENSG00000064787,1263
ENSG00000064835,12
ENSG00000064886,628
ENSG00000064932,6404
ENSG00000064933,1311
ENSG00000064961,3766
ENSG00000064989,3342
ENSG00000064995,2217
ENSG00000064999,2961
ENSG00000065000,7517
ENSG00000065029,1422
ENSG00000065054,9741
ENSG00000065057,1257
ENSG00000065060,2041
ENSG00000065135,11809
ENSG00000065150,9290
ENSG00000065154,7072
ENSG00000065183,3628
ENSG00000065243,4828
ENSG00000065268,1279
ENSG00000065308,6776
ENSG00000065320,194
ENSG00000065325,8
ENSG00000065328,350
ENSG00000065357,3684
ENSG00000065361,18106
ENSG00000065371,1
ENSG00000065413,1147
ENSG00000065427,7328
ENSG00000065457,1657
ENSG00000065485,2201
ENSG00000065491,1369
ENSG00000065518,7641
ENSG00000065526,7459
ENSG00000065534,26041
ENSG00000065548,5523
ENSG00000065559,4554
ENSG00000065600,655
ENSG00000065609,36
ENSG00000065613,9317
ENSG00000065615,1882
ENSG00000065618,1635
ENSG00000065621,645
ENSG00000065665,510
ENSG00000065675,80
ENSG00000065717,885
ENSG00000065802,952
ENSG00000065809,9944
ENSG00000065833,1514
ENSG00000065882,4200
ENSG00000065883,4934
ENSG00000065911,2875
ENSG00000065923,3046
ENSG00000065970,3233
ENSG00000065978,20991
ENSG00000065989,1888
ENSG00000066027,5556
ENSG00000066032,1
ENSG00000066044,5213
ENSG00000066056,3013
ENSG00000066084,6602
ENSG00000066117,4771
ENSG00000066135,4958
ENSG00000066136,3305
ENSG00000066185,173
ENSG00000066230,6
