Gene stable ID,5a2ae0bd-d23c-4104-a33b-7024cf61b597
ENSG00000064666,9798
ENSG00000064687,661
ENSG00000064692,306
ENSG00000064703,1738
ENSG00000064726,4512
ENSG00000064763,392
ENSG00000064787,3090
ENSG00000064835,2
ENSG00000064886,2919
ENSG00000064932,3272
ENSG00000064933,888
ENSG00000064961,3476
ENSG00000064989,2407
ENSG00000064995,1309
ENSG00000064999,2626
ENSG00000065000,13151
ENSG00000065029,1408
ENSG00000065054,2151
ENSG00000065057,476
ENSG00000065060,3114
ENSG00000065135,10671
ENSG00000065150,9292
ENSG00000065154,12330
ENSG00000065183,3815
ENSG00000065243,3421
ENSG00000065268,692
ENSG00000065308,6115
ENSG00000065320,861
ENSG00000065325,36
ENSG00000065328,247
ENSG00000065357,1310
ENSG00000065361,17772
ENSG00000065371,6
ENSG00000065413,1027
ENSG00000065427,5945
ENSG00000065457,1948
ENSG00000065485,2602
ENSG00000065491,1017
ENSG00000065518,12071
ENSG00000065526,7175
ENSG00000065534,15219
ENSG00000065548,5223
ENSG00000065559,2442
ENSG00000065600,938
ENSG00000065609,49
ENSG00000065613,7151
ENSG00000065615,1235
ENSG00000065618,2462
ENSG00000065621,1574
ENSG00000065665,436
ENSG00000065675,97
ENSG00000065717,995
ENSG00000065802,1979
ENSG00000065809,4625
ENSG00000065833,2553
ENSG00000065882,4654
ENSG00000065883,4026
ENSG00000065911,4452
ENSG00000065923,7749
ENSG00000065970,2577
ENSG00000065978,15238
ENSG00000065989,2082
ENSG00000066027,8188
ENSG00000066032,5
ENSG00000066044,5336
ENSG00000066056,1399
ENSG00000066084,8172
ENSG00000066117,3907
ENSG00000066135,4510
ENSG00000066136,2943
ENSG00000066185,102
ENSG00000066230,8
ENSG00000066248,591
ENSG00000066279,643
ENSG00000066294,1006
ENSG00000066322,6134
ENSG00000066336,822
ENSG00000066379,999
ENSG00000066382,181
ENSG00000066405,12
ENSG00000066422,2447
ENSG00000066427,1129
ENSG00000066455,3422
ENSG00000066468,1495
ENSG00000066557,1096
ENSG00000066583,2935
ENSG00000066629,2159
ENSG00000066651,498
ENSG00000066654,5688
ENSG00000066697,1073
ENSG00000066735,81
ENSG00000066739,4416
ENSG00000066777,8304
ENSG00000066813,0
ENSG00000066827,936
ENSG00000066855,2107
ENSG00000066923,127
ENSG00000066926,1925
ENSG00000066933,3657
ENSG00000067048,0
ENSG00000067057,5435
ENSG00000067064,4944
ENSG00000067066,3528
ENSG00000067082,11181
ENSG00000067113,1837
ENSG00000067141,8788
ENSG00000067167,19839
